id,year,month,avg_max_temp,total_rain
1,2001,1,28.266,0.000
2,2001,2,32.360,0.000
3,2001,3,33.824,0.503
4,2001,4,33.423,94.904
5,2001,5,34.308,36.038
6,2001,6,30.492,6.133
7,2001,7,29.545,125.893
8,2001,8,28.342,89.201
9,2001,9,29.738,281.099
10,2001,10,27.796,275.035
11,2001,11,28.125,26.225
12,2001,12,26.725,4.014
13,2002,1,28.131,13.887
14,2002,2,29.871,0.000
15,2002,3,33.768,0.914
16,2002,4,35.530,7.543
17,2002,5,34.150,73.370
18,2002,6,30.497,116.190
19,2002,7,30.753,42.143
20,2002,8,29.158,38.044
21,2002,9,30.795,73.010
22,2002,10,29.217,70.169
23,2002,11,27.902,26.342
24,2002,12,28.582,1.554
25,2003,1,29.007,0.000
26,2003,2,32.257,0.000
27,2003,3,34.329,0.000
28,2003,4,35.432,1.455
29,2003,5,36.265,0.000
30,2003,6,32.660,52.637
31,2003,7,30.074,82.413
32,2003,8,29.255,164.333
33,2003,9,29.899,85.617
34,2003,10,29.085,181.790
35,2003,11,28.246,16.499
36,2003,12,28.077,0.000
37,2004,1,29.090,0.000
38,2004,2,31.664,0.000
39,2004,3,35.269,2.990
40,2004,4,35.125,12.814
41,2004,5,30.613,106.899
42,2004,6,29.687,14.047
43,2004,7,29.026,108.007
44,2004,8,28.720,33.722
45,2004,9,28.717,156.693
46,2004,10,28.490,124.378
47,2004,11,27.292,33.080
48,2004,12,28.161,0.000
49,2005,1,29.661,13.721
50,2005,2,32.223,7.152
51,2005,3,34.351,1.008
52,2005,4,33.831,18.829
53,2005,5,34.893,92.977
54,2005,6,31.200,147.722
55,2005,7,29.443,84.529
56,2005,8,29.122,267.997
57,2005,9,28.770,182.270
58,2005,10,28.135,315.123
59,2005,11,26.362,69.532
60,2005,12,26.936,2.423
73,2007,1,28.738,0.000
74,2007,2,30.960,0.000
75,2007,3,34.211,0.000
76,2007,4,34.946,12.496
77,2007,5,34.058,61.685
78,2007,6,29.888,85.434
79,2007,7,28.831,117.204
80,2007,8,27.931,187.428
81,2007,9,27.833,264.604
82,2007,10,28.525,90.169
83,2007,11,27.677,27.277
84,2007,12,26.945,25.407
85,2008,1,29.026,0.000
86,2008,2,30.274,26.478
87,2008,3,31.035,111.025
88,2008,4,33.516,0.000
89,2008,5,34.025,92.873
90,2008,6,30.026,60.161
91,2008,7,29.691,152.177
92,2008,8,28.183,89.087
93,2008,9,28.990,234.925
94,2008,10,28.794,165.183
95,2008,11,27.740,26.606
96,2008,12,27.363,0.000
97,2009,1,28.409,0.000
98,2009,2,32.112,0.000
99,2009,3,33.726,4.037
100,2009,4,35.246,25.391
101,2009,5,33.969,95.772
102,2009,6,30.914,44.602
103,2009,7,28.975,28.328
104,2009,8,29.354,111.517
105,2009,9,28.809,175.968
106,2009,10,29.333,72.906
107,2009,11,27.369,65.507
108,2009,12,26.949,4.048
109,2010,1,28.095,24.312
110,2010,2,31.964,0.000
111,2010,3,34.896,0.000
112,2010,4,35.835,3.146
113,2010,5,34.000,38.301
114,2010,6,30.915,140.126
115,2010,7,29.570,171.494
116,2010,8,28.405,155.672
117,2010,9,28.780,110.246
118,2010,10,28.968,85.473
119,2010,11,27.061,212.769
120,2010,12,26.387,5.533
121,2011,1,28.731,0.000
122,2011,2,30.303,14.537
123,2011,3,33.547,0.107
124,2011,4,33.442,99.593
125,2011,5,33.592,153.901
126,2011,6,30.014,58.537
127,2011,7,29.237,71.050
128,2011,8,28.618,216.214
129,2011,9,29.528,84.417
130,2011,10,29.646,125.204
131,2011,11,27.633,41.266
132,2011,12,27.425,10.393
133,2012,1,28.855,0.000
134,2012,2,31.745,0.000
135,2012,3,34.543,6.438
136,2012,4,34.670,84.041
137,2012,5,34.107,39.096
138,2012,6,31.584,7.143
139,2012,7,29.872,56.857
140,2012,8,29.419,123.109
141,2012,9,29.770,54.928
142,2012,10,28.933,48.561
143,2012,11,28.444,73.133
144,2012,12,28.075,11.371
145,2013,1,29.754,0.000
146,2013,2,31.120,29.951
147,2013,3,33.856,4.878
148,2013,4,35.772,16.692
149,2013,5,34.824,44.031
150,2013,6,29.302,53.732
151,2013,7,28.102,87.508
152,2013,8,28.681,45.947
153,2013,9,28.678,182.001
154,2013,10,29.006,158.314
155,2013,11,28.067,16.200
156,2013,12,27.527,1.362
157,2014,1,28.687,0.000
158,2014,2,31.116,0.000
159,2014,3,33.645,12.776
160,2014,4,35.752,7.638
161,2014,5,33.951,67.643
162,2014,6,32.124,58.315
163,2014,7,29.241,56.442
164,2014,8,29.339,100.751
165,2014,9,29.724,102.949
166,2014,10,29.478,105.685
167,2014,11,27.827,20.625
168,2014,12,27.122,5.067
169,2015,1,28.271,3.830
170,2015,2,31.068,0.000
171,2015,3,33.389,34.902
172,2015,4,33.562,39.680
173,2015,5,33.223,117.468
174,2015,6,30.302,62.377
175,2015,7,30.857,72.091
176,2015,8,30.370,171.835
177,2015,9,30.128,144.556
178,2015,10,30.261,118.814
179,2015,11,26.856,313.288
180,2015,12,28.390,7.046
181,2016,1,28.892,4.856
182,2016,2,32.133,0.000
183,2016,3,35.183,0.493
184,2016,4,37.348,3.513
185,2016,5,34.524,153.773
186,2016,6,29.757,124.230
187,2016,7,29.145,273.612
188,2016,8,29.700,17.413
189,2016,9,29.016,50.077
190,2016,10,30.831,18.489
191,2016,11,30.107,5.898
192,2016,12,28.069,58.236
193,2017,1,28.803,0.000
194,2017,2,31.896,0.000
195,2017,3,34.343,26.278
196,2017,4,36.574,48.714
197,2017,5,34.815,165.402
198,2017,6,30.721,57.864
199,2017,7,30.312,38.827
200,2017,8,29.566,106.353
201,2017,9,29.457,227.845
202,2017,10,29.015,214.265
203,2017,11,28.167,20.316
204,2017,12,27.555,1.105
205,2018,1,28.660,0.000
206,2018,2,31.119,7.562
207,2018,3,33.746,26.488
208,2018,4,35.172,23.592
209,2018,5,33.735,71.340
210,2018,6,29.976,92.137
211,2018,7,28.988,30.971
212,2018,8,28.677,42.536
213,2018,9,30.779,77.180
214,2018,10,30.054,76.989
215,2018,11,28.899,5.547
216,2018,12,28.293,8.068
217,2019,1,28.655,0.000
218,2019,2,32.189,7.077
219,2019,3,35.328,0.000
220,2019,4,36.356,25.386
221,2019,5,35.881,97.339
222,2019,6,32.380,92.505
223,2019,7,30.050,77.556
224,2019,8,28.489,85.225
225,2019,9,28.926,151.343
226,2019,10,28.678,229.313
227,2019,11,28.681,20.532
228,2019,12,26.805,11.381
265,2023,1,28.206,0.000
266,2023,2,31.250,0.000
267,2023,3,32.510,8.200
268,2023,4,34.537,7.000
269,2023,5,32.206,304.400
270,2023,6,30.427,74.500
271,2023,7,27.606,141.600
272,2023,8,30.339,12.000
273,2023,9,29.030,242.200
274,2023,10,30.000,96.400
275,2023,11,28.343,106.600
276,2023,12,27.682,0.700
