id,year,month,urban_m_ct,rural_m_ct,mid_yr_pop_r,mid_yr_pop_u,deaths_per_ten_k_r,deaths_per_ten_k_u,tot_deaths_per_10k,avg_max_temp,total_rain,oni
1,2001,1,3405,924,1883591,6580539,4.906,5.174,5.115,28.266,0,-1.4
2,2001,2,2881,841,1883591,6580539,4.465,4.378,4.397,32.36,0,-1.1
3,2001,3,3412,658,1883591,6580539,3.493,5.185,4.809,33.824,0.503,-0.8
4,2001,4,4056,831,1883591,6580539,4.412,6.164,5.774,33.423,94.904,-0.7
5,2001,5,3555,918,1883591,6580539,4.874,5.402,5.285,34.308,36.038,-0.6
6,2001,6,3482,879,1883591,6580539,4.667,5.291,5.152,30.492,6.133,-0.6
7,2001,7,3558,792,1883591,6580539,4.205,5.407,5.139,29.545,125.893,-0.5
8,2001,8,4184,905,1883591,6580539,4.805,6.358,6.012,28.342,89.201,-0.5
9,2001,9,4066,948,1883591,6580539,5.033,6.179,5.924,29.738,281.099,-0.6
10,2001,10,4133,1027,1883591,6580539,5.452,6.281,6.096,27.796,275.035,-0.7
11,2001,11,4286,885,1883591,6580539,4.698,6.513,6.109,28.125,26.225,-0.7
12,2001,12,3510,898,1883591,6580539,4.767,5.334,5.208,26.725,4.014,-0.1
13,2002,1,3578,823,1892985,6636758,4.348,5.391,5.16,28.131,13.887,0
14,2002,2,2632,745,1892985,6636758,3.936,3.966,3.959,29.871,0,0.1
15,2002,3,3524,1182,1892985,6636758,6.244,5.31,5.517,33.768,0.914,0.2
16,2002,4,2416,1072,1892985,6636758,5.663,3.64,4.089,35.53,7.543,0.4
17,2002,5,2808,895,1892985,6636758,4.728,4.231,4.341,34.15,73.37,0.7
18,2002,6,3520,1009,1892985,6636758,5.33,5.304,5.31,30.497,116.19,0.8
19,2002,7,3360,924,1892985,6636758,4.881,5.063,5.022,30.753,42.143,0.9
20,2002,8,3301,1070,1892985,6636758,5.652,4.974,5.124,29.158,38.044,1
21,2002,9,3475,854,1892985,6636758,4.511,5.236,5.075,30.795,73.01,1.2
22,2002,10,3638,781,1892985,6636758,4.126,5.482,5.181,29.217,70.169,1.3
23,2002,11,3257,695,1892985,6636758,3.671,4.908,4.633,27.902,26.342,1.1
24,2002,12,3499,1014,1892985,6636758,5.357,5.272,5.291,28.582,1.554,0.9
25,2003,1,3327,795,1916257,6840770,4.149,4.863,4.707,29.007,0,0.6
26,2003,2,2637,837,1916257,6840770,4.368,3.855,3.967,32.257,0,0.4
27,2003,3,2349,796,1916257,6840770,4.154,3.434,3.591,34.329,0,0
28,2003,4,2435,894,1916257,6840770,4.665,3.56,3.802,35.432,1.455,-0.3
29,2003,5,2424,877,1916257,6840770,4.577,3.543,3.77,36.265,0,-0.2
30,2003,6,3147,698,1916257,6840770,3.643,4.6,4.391,32.66,52.637,0.1
31,2003,7,2775,720,1916257,6840770,3.757,4.057,3.991,30.074,82.413,0.2
32,2003,8,3382,1072,1916257,6840770,5.594,4.944,5.086,29.255,164.333,0.3
33,2003,9,3548,977,1916257,6840770,5.098,5.187,5.167,29.899,85.617,0.3
34,2003,10,3030,1090,1916257,6840770,5.688,4.429,4.705,29.085,181.79,0.4
35,2003,11,3353,799,1916257,6840770,4.17,4.901,4.741,28.246,16.499,0.4
36,2003,12,3367,953,1916257,6840770,4.973,4.922,4.933,28.077,0,0.4
37,2004,1,3262,898,1939980,7051273,4.629,4.626,4.627,29.09,0,0.3
38,2004,2,3521,783,1939980,7051273,4.036,4.993,4.787,31.664,0,0.2
39,2004,3,3325,855,1939980,7051273,4.407,4.715,4.649,35.269,2.99,0.2
40,2004,4,3468,821,1939980,7051273,4.232,4.918,4.77,35.125,12.814,0.2
41,2004,5,3677,847,1939980,7051273,4.366,5.215,5.032,30.613,106.899,0.3
42,2004,6,3800,887,1939980,7051273,4.572,5.389,5.213,29.687,14.047,0.5
43,2004,7,4103,876,1939980,7051273,4.516,5.819,5.538,29.026,108.007,0.6
44,2004,8,2753,853,1939980,7051273,4.397,3.904,4.011,28.72,33.722,0.7
45,2004,9,3409,861,1939980,7051273,4.438,4.835,4.749,28.717,156.693,0.7
46,2004,10,2877,736,1939980,7051273,3.794,4.08,4.018,28.49,124.378,0.7
47,2004,11,2570,680,1939980,7051273,3.505,3.645,3.615,27.292,33.08,0.7
48,2004,12,3184,772,1939980,7051273,3.979,4.515,4.4,28.161,0,0.6
49,2005,1,4192,957,1984688,7454759,4.822,5.623,5.455,29.661,13.721,0.6
50,2005,2,2958,828,1984688,7454759,4.172,3.968,4.011,32.223,7.152,0.4
51,2005,3,3335,990,1984688,7454759,4.988,4.474,4.582,34.351,1.008,0.4
52,2005,4,2757,828,1984688,7454759,4.172,3.698,3.798,33.831,18.829,0.3
53,2005,5,2952,931,1984688,7454759,4.691,3.96,4.114,34.893,92.977,0.1
54,2005,6,3304,986,1984688,7454759,4.968,4.432,4.545,31.2,147.722,-0.1
55,2005,7,3008,894,1984688,7454759,4.504,4.035,4.134,29.443,84.529,-0.1
56,2005,8,2857,902,1984688,7454759,4.545,3.832,3.982,29.122,267.997,-0.1
57,2005,9,2911,747,1984688,7454759,3.764,3.905,3.875,28.77,182.27,-0.3
58,2005,10,3281,626,1984688,7454759,3.154,4.401,4.139,28.135,315.123,-0.6
59,2005,11,3331,859,1984688,7454759,4.328,4.468,4.439,26.362,69.532,-0.8
60,2005,12,3564,932,1984688,7454759,4.696,4.781,4.763,26.936,2.423,0.7
61,2007,1,2738,511,1984873,7232207,2.574,3.786,3.525,28.738,0,0.2
62,2007,2,2334,544,1984873,7232207,2.741,3.227,3.122,30.96,0,-0.1
63,2007,3,2388,701,1984873,7232207,3.532,3.302,3.351,34.211,0,-0.3
64,2007,4,2864,583,1984873,7232207,2.937,3.96,3.74,34.946,12.496,-0.4
65,2007,5,3089,713,1984873,7232207,3.592,4.271,4.125,34.058,61.685,-0.5
66,2007,6,3825,621,1984873,7232207,3.129,5.289,4.824,29.888,85.434,-0.6
67,2007,7,4065,634,1984873,7232207,3.194,5.621,5.098,28.831,117.204,-0.8
68,2007,8,3713,775,1984873,7232207,3.905,5.134,4.869,27.931,187.428,-1.1
69,2007,9,3581,544,1984873,7232207,2.741,4.951,4.475,27.833,264.604,-1.3
