mmyy,urban_m_ct,rural_m_ct,mid_yr_pop_r,mid_yr_pop_u,deaths_per_ten_k_r,deaths_per_ten_k_u,tot_deaths_per_10k
Jan-01,3405,924,1883591,6580539,4.906,5.174,5.115
Feb-01,2881,841,1883591,6580539,4.465,4.378,4.397
Mar-01,3412,658,1883591,6580539,3.493,5.185,4.809
Apr-01,4056,831,1883591,6580539,4.412,6.164,5.774
May-01,3555,918,1883591,6580539,4.874,5.402,5.285
Jun-01,3482,879,1883591,6580539,4.667,5.291,5.152
Jul-01,3558,792,1883591,6580539,4.205,5.407,5.139
Aug-01,4184,905,1883591,6580539,4.805,6.358,6.012
Sep-01,4066,948,1883591,6580539,5.033,6.179,5.924
Oct-01,4133,1027,1883591,6580539,5.452,6.281,6.096
Nov-01,4286,885,1883591,6580539,4.698,6.513,6.109
Dec-01,3510,898,1883591,6580539,4.767,5.334,5.208
Jan-02,3578,823,1892985,6636758,4.348,5.391,5.160
Feb-02,2632,745,1892985,6636758,3.936,3.966,3.959
Mar-02,3524,1182,1892985,6636758,6.244,5.310,5.517
Apr-02,2416,1072,1892985,6636758,5.663,3.640,4.089
May-02,2808,895,1892985,6636758,4.728,4.231,4.341
Jun-02,3520,1009,1892985,6636758,5.330,5.304,5.310
Jul-02,3360,924,1892985,6636758,4.881,5.063,5.022
Aug-02,3301,1070,1892985,6636758,5.652,4.974,5.124
Sep-02,3475,854,1892985,6636758,4.511,5.236,5.075
Oct-02,3638,781,1892985,6636758,4.126,5.482,5.181
Nov-02,3257,695,1892985,6636758,3.671,4.908,4.633
Dec-02,3499,1014,1892985,6636758,5.357,5.272,5.291
Jan-03,3327,795,1916257,6840770,4.149,4.863,4.707
Feb-03,2637,837,1916257,6840770,4.368,3.855,3.967
Mar-03,2349,796,1916257,6840770,4.154,3.434,3.591
Apr-03,2435,894,1916257,6840770,4.665,3.560,3.802
May-03,2424,877,1916257,6840770,4.577,3.543,3.770
Jun-03,3147,698,1916257,6840770,3.643,4.600,4.391
Jul-03,2775,720,1916257,6840770,3.757,4.057,3.991
Aug-03,3382,1072,1916257,6840770,5.594,4.944,5.086
Sep-03,3548,977,1916257,6840770,5.098,5.187,5.167
Oct-03,3030,1090,1916257,6840770,5.688,4.429,4.705
Nov-03,3353,799,1916257,6840770,4.170,4.901,4.741
Dec-03,3367,953,1916257,6840770,4.973,4.922,4.933
Jan-04,3262,898,1939980,7051273,4.629,4.626,4.627
Feb-04,3521,783,1939980,7051273,4.036,4.993,4.787
Mar-04,3325,855,1939980,7051273,4.407,4.715,4.649
Apr-04,3468,821,1939980,7051273,4.232,4.918,4.770
May-04,3677,847,1939980,7051273,4.366,5.215,5.032
Jun-04,3800,887,1939980,7051273,4.572,5.389,5.213
Jul-04,4103,876,1939980,7051273,4.516,5.819,5.538
Aug-04,2753,853,1939980,7051273,4.397,3.904,4.011
Sep-04,3409,861,1939980,7051273,4.438,4.835,4.749
Oct-04,2877,736,1939980,7051273,3.794,4.080,4.018
Nov-04,2570,680,1939980,7051273,3.505,3.645,3.615
Dec-04,3184,772,1939980,7051273,3.979,4.515,4.400
Jan-05,4192,957,1984688,7454759,4.822,5.623,5.455
Feb-05,2958,828,1984688,7454759,4.172,3.968,4.011
Mar-05,3335,990,1984688,7454759,4.988,4.474,4.582
Apr-05,2757,828,1984688,7454759,4.172,3.698,3.798
May-05,2952,931,1984688,7454759,4.691,3.960,4.114
Jun-05,3304,986,1984688,7454759,4.968,4.432,4.545
Jul-05,3008,894,1984688,7454759,4.504,4.035,4.134
Aug-05,2857,902,1984688,7454759,4.545,3.832,3.982
Sep-05,2911,747,1984688,7454759,3.764,3.905,3.875
Oct-05,3281,626,1984688,7454759,3.154,4.401,4.139
Nov-05,3331,859,1984688,7454759,4.328,4.468,4.439
Dec-05,3564,932,1984688,7454759,4.696,4.781,4.763
Jan-07,2738,511,1984873,7232207,2.574,3.786,3.525
Feb-07,2334,544,1984873,7232207,2.741,3.227,3.122
Mar-07,2388,701,1984873,7232207,3.532,3.302,3.351
Apr-07,2864,583,1984873,7232207,2.937,3.960,3.740
May-07,3089,713,1984873,7232207,3.592,4.271,4.125
Jun-07,3825,621,1984873,7232207,3.129,5.289,4.824
Jul-07,4065,634,1984873,7232207,3.194,5.621,5.098
Aug-07,3713,775,1984873,7232207,3.905,5.134,4.869
